sha1sum; hopper1_kvm_patched_conf1; hopper1_kvm_patched_conf2; hopper2_vmware_conf3; hopper4_vmware_conf2; hopper5_vmware_conf2_vmtools; hopper6_kvm_legacy_conf1; hopper6_kvm_legacy_conf2; hopper3_vbox_conf1; hopper3_vbox_conf2; hopper8_vbox_conf1_guestadditions; hopper8_vbox_conf2_guestadditions; hopper7_qemu_legacy_conf1; hopper7_qemu_legacy_conf2
af5e22951b298f9967909a4f85c284f597f20abc; False; False; False; False; False; False; False; False; False; False; False; False; False
aee7191bb2125377aa2797797a93a3cd2d7001c6; True; True; True; False; False; False; False; True; False; True; False; True; True
ed8c052a98fb57431c22039bd4046c29392ddab5; True; True; True; False; False; False; False; True; False; False; False; True; True
208fa49421ba32c2a19c338dc75548451d3cee92; True; True; True; False; False; False; False; True; False; False; False; True; True
c2bf983bcd1cbe9ea2d4d0ad8decc72d2eabca59; False; False; False; False; False; False; False; False; False; False; False; True; False
5101a2f42f7bb85192f5e589b3a41ef054bed05c; True; True; True; False; False; True; True; True; False; True; False; True; True
c3bdc4f87ea4c333b759e18543aca357f74db526; False; False; False; False; False; False; False; True; False; False; False; False; False
4ad7d76c13a6d0f19ff64efc5d4d3d0e8a64c359; True; True; True; False; False; False; False; True; False; True; False; True; True
89ee15293df30089fe0b112b8f0ea1103ee8d4f5; True; True; True; True; True; True; True; True; True; True; True; True; True
e9911b2c3dfe67ec32c449c40285c9d4590092c8; True; True; True; False; False; False; False; True; False; True; False; True; True
66fcdc0929092a01ea7aa9e63efe9492ceec44e6; False; False; False; False; False; False; False; True; False; False; False; False; False
d32f230975afbf276f9620975192b4943bd10b3c; True; True; True; False; False; False; False; True; False; True; False; True; True
d1e49a7914c9ab9a38d231a7e8ed4c0adeab3806; True; True; True; False; False; True; True; True; False; True; False; True; True
b2f4f14f1ad61555a0433ac503ea1c1e0bfeb862; True; True; True; False; False; False; False; True; False; True; False; True; True
439c9ba48aaab4a29f74b5c193ba47c63f618bd5; True; True; True; True; True; True; True; True; True; True; True; True; True
852f1236e6094f404a713c40e5546c67be7c5863; True; True; True; False; False; False; False; True; False; True; False; True; True
421a821498df9e598269b0ba9b85b2724cdb4c3d; False; False; False; False; False; False; False; False; False; False; False; True; False
c3aa59357b7b42fab7c3d5294b94a8120581c5bd; True; True; True; False; False; False; False; True; False; True; False; True; True
a102bc3df8e2df1584e7f78df0c6af33b039882c; True; True; True; False; False; True; True; True; False; True; False; True; True
82a0951f4a642686c0550d6a0b48c4d0932faf90; True; True; True; True; True; True; True; True; True; True; True; True; True
7261901e62cbb206b0ecb90af72855e46e1e9309; True; True; True; False; False; True; True; True; False; False; False; True; True
bb430c31a03915a0be894b08050928f6bce1fe3f; False; False; False; False; False; False; False; True; False; True; False; False; False
5bc53e91237db39420b85d22ee213419eb9d7bff; False; False; False; False; False; False; False; False; False; False; False; True; False
3cae64dda3c6f609d46131872ab32536fbdbbcbe; False; False; False; False; False; False; False; True; False; False; False; False; False
63507367af685290afabff62e7b6db552f931313; True; True; True; False; False; False; False; True; False; True; False; True; True
696026c951524c5c3922bd9e0569a26910343958; True; True; True; False; False; True; True; True; False; True; False; True; True
efa0f64adaa410b5237e0a042fc7e96edabc366f; True; True; True; False; False; False; False; True; False; True; False; True; True
