sha1sum; evasion; bitmap
af5e22951b298f9967909a4f85c284f597f20abc; ability to retrieve the current memory availability, contains right to left unicode characters (\u2e20), detecting debugger by checking debug port, timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (timing analysis detection); 010100100000100
aee7191bb2125377aa2797797a93a3cd2d7001c6; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
ed8c052a98fb57431c22039bd4046c29392ddab5; detecting sandboxes by checking registry keys artifacts, trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (drivers detection); 000000001110000
208fa49421ba32c2a19c338dc75548451d3cee92; detecting sandboxes by checking registry keys artifacts, trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection), trying to detect analysis virtual environment (drivers detection), trying to detect analysis virtual environment (installed applications detection); 000000001110000
c2bf983bcd1cbe9ea2d4d0ad8decc72d2eabca59; ability to retrieve system default language identifier, checking for specific image filename, detecting analysis environment by checking sandbox name, detecting sandbox (checking loaded module path), possibly stalling against analysis environment (sleep), potential detection of analysis tools (dbghelp.dll), searching for specific processes: chrome.exe (browser injection target), searching for specific processes: clmain.exe (e-commerce client injection target), searching for specific processes: explorer.exe (system injection target), searching for specific processes: mnp.exe (e-commerce client injection target), searching for specific processes: sks2xyz.dll.exe (e-banking client injection target), timing detection (rdtsc_gettickcount), trying to detect analysis virtual environment (analysis path detection), trying to detect analysis virtual environment (malware analysis sandbox detection), trying to detect analysis virtual environment (timing analysis detection); 100100100000000
5101a2f42f7bb85192f5e589b3a41ef054bed05c; trying to detect analysis virtual environment (bios detection); 000000001000000
c3bdc4f87ea4c333b759e18543aca357f74db526; ability to check the disk size, ability to retrieve the current memory availability, delaying execution by using ping.exe utility, trying to detect analysis virtual environment (bios detection); 000000001001100
4ad7d76c13a6d0f19ff64efc5d4d3d0e8a64c359; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
89ee15293df30089fe0b112b8f0ea1103ee8d4f5; possibly stalling against analysis environment (sleep), trying to detect analysis virtual environment (pnp device detection); 000000000000000
e9911b2c3dfe67ec32c449c40285c9d4590092c8; ability to detect if sleep() function is patched, detecting avast software (checking dll), detecting debugger by checking debug port, detecting sandboxes by checking registry keys artifacts, detecting the presence of wine, potential detection of virtual environment (virtual pc), potential detection of virtual environment (winsock packet editor pro), searching for specific processes: xenservice.exe (analysis tool detection), trying to detect analysis virtual environment (bios detection), trying to detect analysis virtual environment (hdd detection); 110000001010000
